analist, pattern_name, step, vector, distance, metric, size, traj_size, path_size
-1, v2, 1, 0.12121212121212122, 0.42424242424242425, 0.05142332415059688, 750, 66, 33
-1, h2, 1, 0.2571428571428571, 1.6571428571428573, 0.42612244897959184, 735, 68, 33
-1, d21, 1, 0.375, 2.0, 0.75, 644, 64, 32
-1, d22, 1, 0.46875, 1.84375, 0.8642578125, 691, 64, 32
-1, e31, 1, 0.07407407407407407, 1.7777777777777777, 0.1316872427983539, 432, 54, 27
-1, e32, 1, 0.034482758620689655, 1.5862068965517242, 0.05469678953626635, 443, 58, 29
-1, e33, 1, 0.1724137931034483, 1.7586206896551724, 0.3032104637336504, 421, 58, 29
-1, e34, 1, 0.125, 1.625, 0.203125, 455, 64, 32
-1, h3, 1, 0.3870967741935484, 2.064516129032258, 0.7991675338189386, 393, 62, 31
-1, v3, 1, 0.0625, 0.125, 0.0078125, 505, 64, 32
-1, d31, 1, 0.1111111111111111, 1.8333333333333333, 0.2037037037037037, 213, 36, 18
-1, d32, 1, 0.6190476190476191, 1.7619047619047619, 1.090702947845805, 270, 42, 21
-1, h3e1, 1, 0.3793103448275862, 2.0344827586206895, 0.7717003567181925, 518, 58, 29
-1, h3e2, 1, 0.3333333333333333, 1.7, 0.5666666666666667, 502, 59, 29
-1, h3e3, 1, 0.4838709677419355, 2.193548387096774, 1.0613943808532778, 478, 57, 26
-1, v3e1, 1, 0.03225806451612903, 0.7741935483870968, 0.02497398543184183, 646, 62, 31
-1, v3e2, 1, 0.21875, 1.875, 0.41015625, 643, 64, 32
-1, v3e3, 1, 0.0967741935483871, 2.161290322580645, 0.20915712799167532, 639, 62, 31
-1, vh2e1, 1, 0.3888888888888889, 1.0555555555555556, 0.4104938271604938, 266, 36, 18
-1, vh2e2, 1, 0.034482758620689655, 1.6206896551724137, 0.05588585017835909, 361, 57, 28
-1, vh2e3, 1, 0.10344827586206896, 1.8620689655172413, 0.19262782401902495, 482, 56, 27
1, v2, 1, 0.2727272727272727, 1.1818181818181819, 0.32231404958677684, 750, 66, 33
1, h2, 1, 0.22857142857142856, 1.0857142857142856, 0.24816326530612243, 735, 68, 33
1, d21, 1, 0.6875, 1.21875, 0.837890625, 644, 64, 32
1, d22, 1, 0.40625, 1.15625, 0.4697265625, 691, 64, 32
1, e31, 1, 0.37037037037037035, 1.3703703703703705, 0.5075445816186557, 432, 54, 27
1, e32, 1, 0.5172413793103449, 1.4137931034482758, 0.7312722948870393, 443, 58, 29
1, e33, 1, 0.41379310344827586, 1.0689655172413792, 0.44233055885850175, 421, 58, 29
1, e34, 1, 0.46875, 1.46875, 0.6884765625, 455, 64, 32
1, h3, 1, 0.4838709677419355, 1.7741935483870968, 0.858480749219563, 393, 62, 31
1, v3, 1, 0.03125, 0.09375, 0.0029296875, 505, 64, 32
1, d31, 1, 0.8888888888888888, 1.6111111111111112, 1.4320987654320987, 213, 36, 18
1, d32, 1, 0.6190476190476191, 1.1428571428571428, 0.7074829931972789, 270, 42, 21
1, h3e1, 1, 0.7241379310344828, 1.7241379310344827, 1.248513674197384, 518, 58, 29
1, h3e2, 1, 0.3, 1.3, 0.39, 502, 59, 29
1, h3e3, 1, 0.6129032258064516, 1.6451612903225807, 1.008324661810614, 478, 57, 26
1, v3e1, 1, 0.12903225806451613, 1.1612903225806452, 0.14984391259105098, 646, 62, 31
