v2, h2, d21, d22, e31, e32, e33, e34, h3, v3, d31, d32, h3e1, h3e2, h3e3, v3e1, v3e2, v3e3, vh2e1, vh2e2, vh2e3, 
label/important/important/short, 473, 455, 211, 276, 43, 36, 47, 62, 38, 258, 0, 17, 185, 93, 147, 203, 92, 134, 18, 10, 75, 
label/important/important/middle, 1495, 1388, 1361, 1383, 791, 785, 825, 881, 545, 1097, 299, 434, 963, 905, 978, 1377, 1405, 1143, 425, 399, 760, 
label/important/important/long, 384, 384, 384, 384, 345, 351, 333, 366, 301, 349, 220, 211, 342, 336, 332, 384, 384, 382, 223, 297, 322, 
label/important/trivial/short, 40, 39, 28, 41, 10, 12, 4, 10, 8, 12, 0, 1, 17, 11, 29, 21, 24, 21, 1, 3, 13, 
label/important/trivial/middle, 368, 357, 338, 345, 230, 245, 237, 240, 174, 294, 86, 140, 252, 249, 250, 348, 357, 300, 122, 143, 213, 
label/important/trivial/long, 76, 76, 76, 76, 68, 72, 70, 73, 63, 69, 43, 54, 65, 67, 63, 76, 76, 75, 48, 56, 61, 
label/trivial/important/short, 6593, 5699, 2955, 4523, 604, 461, 596, 769, 456, 1350, 21, 125, 1741, 1951, 2665, 2434, 2631, 2490, 480, 296, 1054, 
label/trivial/important/middle, 15355, 14571, 14026, 14150, 8100, 7854, 8021, 8160, 5479, 11044, 2617, 2976, 9146, 8438, 8825, 13674, 14524, 12445, 4298, 5242, 8862, 
label/trivial/important/long, 6571, 6564, 6564, 6560, 5898, 5995, 5869, 5934, 5321, 5922, 3563, 3627, 5785, 5646, 5388, 6536, 6571, 6557, 3149, 5599, 5820, 
label/trivial/trivial/short, 1395, 1258, 966, 1281, 91, 158, 94, 134, 158, 347, 2, 32, 370, 341, 907, 417, 1119, 1043, 64, 76, 508, 
label/trivial/trivial/middle, 6395, 6232, 6119, 6140, 4548, 4553, 4464, 4500, 3707, 5111, 1966, 2244, 4345, 4018, 4240, 5903, 6314, 5535, 2004, 2970, 4170, 
label/trivial/trivial/long, 10339, 10335, 10333, 10327, 9657, 9696, 9558, 9583, 9120, 9441, 6621, 6648, 9495, 9264, 8935, 10287, 10337, 10323, 5265, 9261, 9503, 
